trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.995}",20,0,-77.25195579103676,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.99}",20,0,-61.742187641053675,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.985}",20,0,-169.6157514690666,"{0: 11, 1: 2, 2: 3, 3: 1, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.98}",20,0,-97.05083328885569,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.975}",35,0,-315.8110357864374,"{0: 17, 1: 6, 2: 6, 3: 0, 4: 6}",0
6,False,"{'a': 0.5, 'e': 0.97}",20,0,-138.17574209679458,"{0: 11, 1: 0, 2: 7, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.965}",25,1,-69.18501630246097,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 1}",1
8,False,"{'a': 0.5, 'e': 0.96}",25,0,-100.57367759683825,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.955}",20,0,-18.658505485744204,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.95}",25,10,-99.61189296924158,"{0: 9, 1: 0, 2: 4, 3: 0, 4: 2}",1
11,False,"{'a': 0.5, 'e': 0.945}",20,0,-102.76633173688603,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.94}",20,0,-85.83153347990226,"{0: 10, 1: 6, 2: 3, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.9349999999999999}",25,0,-215.676199327703,"{0: 14, 1: 2, 2: 4, 3: 1, 4: 4}",0
14,False,"{'a': 0.5, 'e': 0.9299999999999999}",30,0,-81.79364480387315,"{0: 21, 1: 3, 2: 5, 3: 0, 4: 1}",1
15,False,"{'a': 0.5, 'e': 0.9249999999999999}",20,0,-172.2695171202602,"{0: 10, 1: 1, 2: 6, 3: 0, 4: 3}",0
16,False,"{'a': 0.5, 'e': 0.9199999999999999}",20,0,-22.86786071166741,"{0: 14, 1: 5, 2: 1, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.9149999999999999}",20,0,-69.12732950113207,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.9099999999999999}",25,0,-108.45308796034453,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.9049999999999999}",25,0,-90.03653522516777,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
