trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.995}",25,0,-91.8198400614107,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.99}",25,0,-193.51419430123747,"{0: 13, 1: 4, 2: 4, 3: 1, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.985}",25,0,-123.37954744255653,"{0: 15, 1: 4, 2: 4, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.98}",20,3,-72.71601506147563,"{0: 10, 1: 3, 2: 3, 3: 0, 4: 1}",1
5,False,"{'a': 0.5, 'e': 0.975}",30,0,-239.03267998541355,"{0: 16, 1: 1, 2: 9, 3: 0, 4: 4}",0
6,False,"{'a': 0.5, 'e': 0.97}",30,0,-133.8447218584239,"{0: 16, 1: 5, 2: 8, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.965}",20,0,-69.89771915021066,"{0: 12, 1: 5, 2: 2, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.96}",25,0,-117.32590354047962,"{0: 17, 1: 3, 2: 2, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.955}",20,0,-38.48045627567651,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.95}",30,15,-18.926120197000532,"{0: 11, 1: 2, 2: 1, 3: 1, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.945}",30,0,-141.15590831301367,"{0: 21, 1: 2, 2: 4, 3: 0, 4: 3}",0
12,False,"{'a': 0.5, 'e': 0.94}",20,0,-83.40486099761425,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.9349999999999999}",20,0,-160.00444019355626,"{0: 8, 1: 5, 2: 4, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.9299999999999999}",25,0,-154.05165959887591,"{0: 12, 1: 4, 2: 7, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.9249999999999999}",20,14,-9.98580047514518,"{0: 4, 1: 0, 2: 2, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.9199999999999999}",25,0,-119.13868720133998,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
