trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",30,0,-143.1362690357249,"{0: 18, 1: 3, 2: 7, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",35,0,-244.8720142939743,"{0: 20, 1: 3, 2: 7, 3: 1, 4: 4}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,16,0.3564449118531714,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-134.24376882000774,"{0: 6, 1: 5, 2: 7, 3: 2, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",30,0,-176.5262766705912,"{0: 19, 1: 5, 2: 2, 3: 0, 4: 4}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",35,0,-159.28131490104295,"{0: 16, 1: 6, 2: 12, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-71.04227158717056,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-92.72421077283946,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",30,0,-148.2496217049106,"{0: 18, 1: 2, 2: 8, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",35,0,-172.5701245568035,"{0: 22, 1: 4, 2: 5, 3: 2, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-221.8448528964799,"{0: 13, 1: 1, 2: 7, 3: 0, 4: 4}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",30,0,-85.17295456244497,"{0: 18, 1: 4, 2: 8, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-23.423449404319594,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",30,0,-83.43649622977661,"{0: 17, 1: 7, 2: 5, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",30,0,-115.65184382217247,"{0: 17, 1: 4, 2: 8, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,0,-162.00444598399537,"{0: 12, 1: 1, 2: 9, 3: 2, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",30,0,-159.41045435887057,"{0: 14, 1: 2, 2: 13, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-46.17974207575975,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",30,0,-135.3895106051638,"{0: 18, 1: 3, 2: 6, 3: 2, 4: 1}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,-143.83700030281815,"{0: 14, 1: 4, 2: 4, 3: 1, 4: 2}",0
1,True,"{'a': 0.0, 'e': 0.0}",20,0,-71.89238146565435,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
2,True,"{'a': 0.0, 'e': 0.0}",30,0,-103.84630655099596,"{0: 20, 1: 3, 2: 5, 3: 1, 4: 1}",0
3,True,"{'a': 0.0, 'e': 0.0}",30,0,-101.55272703339648,"{0: 20, 1: 2, 2: 7, 3: 0, 4: 1}",0
4,True,"{'a': 0.0, 'e': 0.0}",20,0,-105.48361222999252,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
5,True,"{'a': 0.0, 'e': 0.0}",25,0,-220.70688524173735,"{0: 7, 1: 4, 2: 11, 3: 1, 4: 2}",0
6,True,"{'a': 0.0, 'e': 0.0}",25,0,-119.6246954674402,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
7,True,"{'a': 0.0, 'e': 0.0}",30,9,-71.99100823735462,"{0: 10, 1: 4, 2: 7, 3: 0, 4: 0}",1
8,True,"{'a': 0.0, 'e': 0.0}",20,0,9.27579016601936,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
9,True,"{'a': 0.0, 'e': 0.0}",20,0,-194.00122212711165,"{0: 9, 1: 0, 2: 8, 3: 0, 4: 3}",0
10,True,"{'a': 0.0, 'e': 0.0}",25,0,-133.48284526443317,"{0: 12, 1: 5, 2: 6, 3: 1, 4: 1}",0
